u,ux,uy,uz,u2x,u2y,u2z,p,px,v,vx,vy,vz,v2x,v2y,v2z,py,vvx,vvy,vvz
,,,,,,,83736.96875,,0.8193872570991516,-0.00014913514256477357,0.00020612701773643495,0.0008115214109420776,-6.319582462310791e-09,3.809913992881775e-07,-9.147465229034424e-07,-0.00046875,-0.00012219943540324075,0.00016889785167708562,0.0006649503029890624
,,,,,,,83737.1953125,,0.8682324886322021,-0.00015460267663002013,0.00027192652225494385,0.0007394354045391083,-6.530731916427612e-08,2.7700364589691164e-07,-9.90290939807892e-07,0.00140625,-0.00013423106667968197,0.0002360954411425098,0.0006420018414657491
,,,,,,,83737.53125,,0.9281578660011292,-0.00012140154838562012,0.0002962881326675415,0.000670781284570694,-6.530582904815674e-08,-3.338754177093506e-08,-1.3873979449272156e-06,0.00146484375,-0.00011267980207882999,0.0002750021609381648,0.0006225909256406315
,,,,,,,83737.78125,,0.9867477416992188,-0.00010243311524391174,0.0002917896211147308,0.0006385539472103119,-1.7459690570831298e-08,-1.159757375717163e-08,-1.5764161944389343e-06,1.953125e-05,-0.00010107564514214574,0.0002879227496862313,0.0006300916653628973
,,,,,,,83737.5390625,,1.0448737144470215,-9.048283100128174e-05,0.0002732017636299133,0.0006254559755325317,-2.8002262115478515e-08,-1.7428100109100342e-07,-1.6821742057800293e-06,-0.1837890625,-9.454313172199135e-05,0.0002854613415574647,0.0006535225083777618
,,,,,,,83664.265625,,1.096028447151184,-8.40643048286438e-05,0.00025906264781951906,0.0005795618891716003,4.5567750930786135e-09,3.2889842987060544e-08,-1.8350273370742799e-06,-0.35142578125,-9.213686948218224e-05,0.00028394003160450156,0.0006352163174167557
,,,,,,,83596.96875,,1.148498773574829,-8.706182241439819e-05,0.00027741968631744384,0.0005346822738647461,-3.1498074531555174e-08,1.506805419921875e-07,-1.9592940807342528e-06,-0.27146484375,-9.99903962681259e-05,0.000318616169501098,0.0006140819357858617
,,,,,,,83555.6796875,,1.2069963216781616,-6.604522466659546e-05,0.0003406822681427002,0.0005036741495132446,-3.1033158302307126e-08,4.819452762603759e-07,-2.0276904106140136e-06,0.011796875,-7.971634323698851e-05,0.00041120224450921225,0.0006079328457868627
,,,,,,,83601.6875,,1.2847716808319092,-7.213830947875976e-05,0.00040974587202072146,0.000420231819152832,-1.9359588623046874e-08,2.0869076251983644e-07,-2.02939510345459e-06,0.2428125,-9.268125712139862e-05,0.0005264298927099986,0.0005399019406320349
,,,,,,,83652.8046875,,1.3708946704864502,-5.9705674648284915e-05,0.00043023109436035156,0.0003254234790802002,-4.127621650695801e-09,-3.838539123535156e-09,-2.1032750606536867e-06,0.009140625,-8.185019117313175e-05,0.000589801514336159,0.00044612131312220525
,,,,,,,83605.34375,,1.4568641185760498,-5.4675638675689694e-05,0.00041970491409301755,0.00026153236627578734,-3.6090612411499023e-09,-1.0142326354980469e-07,-2.489820122718811e-06,-0.2202734375,-7.965497614684125e-05,0.0006114530297321607,0.00038101712027348354
,,,,,,,83564.6953125,,1.5387766361236572,-5.479335784912109e-05,0.0004409933090209961,0.0002511247992515564,4.32133674621582e-09,3.1430721282958985e-07,-1.8987983465194701e-06,-0.14669921875,-8.431473887299034e-05,0.0006785902006083689,0.0003864249738395387
,,,,,,,83546.6640625,,1.6332614421844482,-5.088627338409424e-05,0.00048100411891937255,0.00024132519960403442,-1.8358230590820312e-08,8.58008861541748e-08,-1.8934160470962524e-06,-0.012109375,-8.311058825469786e-05,0.0007856054809629142,0.0003941471435407351
