u,ux,uy,uz,u2x,u2y,u2z,v,vx,vy,vz,v2x,v2y,v2z,w,wx,wy,wz,w2x,w2y,w2z,p,px,py,pz,uux,vuy,wuz,uvx,vvy,wvz,uwx,vwy,wwz
19.232385635375977,-8.559226989746093e-06,-0.00031390190124511717,0,6.748676300048828e-07,-4.390716552734375e-07,0,1.4378234148025513,-4.732728004455566e-05,0.0002583274245262146,0.00045869052410125734,-3.9458274841308596e-08,2.7699768543243406e-07,-1.243675947189331e-05,0.44538235664367676,-0.00013562165200710298,4.2631402611732485e-05,0.0002994352579116821,-2.2125989198684692e-08,1.0510645806789397e-06,2.4395644664764403e-06,81757.2578125,0.046328125,0.31056640625,0,-0.00016461435420751512,-0.0004513355035612676,0.0,-0.0009102165008903284,0.0003714292196694302,0.0002042926665943412,-0.002608327911907367,6.129642888102361e-05,0.00013336318083091212
19.160823822021484,1.4085769653320312e-05,-0.0003615379333496094,0,9.402275085449219e-07,-3.728866577148438e-08,0,1.4950288534164429,-8.867025375366212e-05,0.0002818259596824646,0.0005322778224945068,-3.414154052734375e-08,-4.201233386993408e-08,-1.374351978302002e-05,0.47492992877960205,-0.00013868682086467743,7.93701410293579e-05,0.00044872701168060305,-6.788000464439392e-08,-6.836771965026856e-07,-2.6680588722229003e-06,81809.53125,-0.00978515625,0.16580078125,0,0.0002698949507248471,-0.0005405096419622169,0.0,-0.001698995110427859,0.0004213379413670637,0.0002527946683282778,-0.0026573537410243373,0.00011866065093862232,0.00021311388769895248
19.087770462036133,4.99725341796875e-06,-0.0003318977355957031,0,8.79669189453125e-07,3.3369064331054686e-07,0,1.550553798675537,-0.00011251509189605713,0.00027713149785995483,0.0005686050653457642,-4.824995994567871e-08,-4.9322843551635745e-09,-1.0625779628753661e-05,0.4771304130554199,-0.00012391045689582824,8.80257785320282e-05,0.00041940271854400634,-1.3201385736465453e-07,7.702335715293885e-07,2.6687026023864747e-06,81823.578125,0.0236328125,0.1037890625,0,9.538642618281301e-05,-0.0005146252946997265,0.0,-0.0021476622476268403,0.00042970729673939443,0.00027129876969382853,-0.002365174359073592,0.00013648870528420787,0.00020010979233546776
19.028064727783203,-5.551338195800781e-05,-0.00033629894256591796,0,4.0159225463867185e-07,-3.777027130126953e-07,0,1.6058814525604248,-0.00011467009782791138,0.0002589136362075806,0.0006856805086135864,6.4641237258911136e-09,-1.772463321685791e-07,-1.1072862148284913e-05,0.5101402401924133,-9.434551000595093e-05,9.030357003211975e-05,0.0003622394800186157,-8.528828620910645e-08,-7.474556565284729e-07,-2.429842948913574e-06,81851.046875,0.354921875,0.0648828125,0,-0.001056312225155125,-0.0005400562343822912,0.0,-0.00218195004381073,0.00041578460620073093,0.0003497932193593911,-0.0017952124711689522,0.0001450168282145725,0.00018479293534387153
18.953250885009766,-0.00011185646057128907,-0.00042233467102050783,0,1.2369155883789063e-07,-4.826545715332031e-07,0,1.6541192531585693,-0.00013924390077590942,0.0003315705060958862,0.0006524926424026489,3.799796104431152e-09,9.038150310516358e-07,-7.510292530059815e-06,0.5132518410682678,-5.973130464553833e-05,3.966912627220154e-05,0.0005118171870708466,-1.3882219791412354e-07,2.411112189292908e-07,1.1467248201370239e-06,81849.53125,0.56056640625,0.1981640625,0,-0.0021200435603168444,-0.0006985919106114125,0.0,-0.0026391245856132173,0.0005484571579127362,0.00033489304999665846,-0.0011321024026358373,6.5617465522827e-05,0.00026269111355449405
18.859130859375,-0.00011708259582519531,-0.0004883575439453125,0,3.381729125976563e-07,-1.7757415771484375e-07,0,1.7385096549987793,-0.0001670798659324646,0.0004263287782669067,0.0005483329296112061,-5.626380443572998e-08,4.376769065856933e-08,-9.21022891998291e-06,0.526007890701294,-2.14463472366333e-05,9.288638830184937e-06,0.0006249441206455231,-9.02026891708374e-08,-5.449160933494568e-07,-3.0862122774124146e-06,81930.3125,0.5732421875,0.4492578125,0,-0.0022080759960226713,-0.0008490143052404165,0.0,-0.0031509810555871813,0.0007411766972208511,0.0002884274477068516,-0.00040445946899126284,1.614838828807308e-05,0.00032872553870692654
18.75790786743164,-9.083747863769532e-06,-0.00045836925506591796,0,1.3706684112548827e-06,4.774570465087891e-07,0,1.824650764465332,-0.00019402682781219483,0.00043555498123168943,0.0003579586744308472,-1.2319087982177736e-07,4.849433898925781e-08,-9.406769275665283e-06,0.5169672966003418,-8.815228939056397e-06,-5.1034241914749144e-05,0.0005953148007392884,-8.718669414520264e-08,-5.831271409988403e-08,-7.669985294342041e-07,82029.234375,0.09697265625,0.29927734375,0,-0.00017039210551956786,-0.000836363811663432,0.0,-0.0036395373599111738,0.0007947357294710855,0.00018505292821515695,-0.00016535525226913706,-9.311966852365572e-05,0.00030775828316436104
18.675783157348633,6.476402282714843e-05,-0.0003961181640625,0,1.23138427734375e-06,1.4505386352539064e-07,0,1.912731647491455,-0.00019523531198501588,0.0003931182622909546,0.0002883613109588623,-2.100616693496704e-07,-4.7286152839660645e-07,-1.2679910659790039e-05,0.5055941939353943,1.2784153223037719e-05,-8.975960314273834e-05,0.0005326728522777557,-7.952749729156493e-09,-3.2894089818000796e-07,-1.999661326408386e-06,82050.0234375,-0.1944921875,0.05546875,0,0.0012095188467174012,-0.0007576677485485561,0.0,-0.003646172351289465,0.0007519297414907555,0.00014579380457639956,0.00023875407344377207,-0.0001716860335973891,0.00026931630137863924
18.59946060180664,8.985042572021485e-05,-0.0003601169586181641,0,1.053476333618164e-06,2.1495819091796874e-07,0,1.9818980693817139,-0.00019388526678085327,0.0003345543146133423,0.00019915223121643065,-9.11802053451538e-08,-1.127779483795166e-07,-1.2946057319641114e-05,0.48106345534324646,3.0746012926101683e-05,-8.288808166980743e-05,0.0004764983057975769,1.4550983905792237e-07,3.9765611290931703e-07,-1.2539982795715331e-06,82051.421875,-0.26591796875,-0.02310546875,0,0.0016711694532386902,-0.0007137151050369539,0.0,-0.0036061613807612503,0.0006630525502355056,9.580486048829328e-05,0.0005718592560816659,-0.00016427572903614517,0.00022922592145218523
18.531736373901367,9.249687194824218e-05,-0.0002878093719482422,0,9.381294250488281e-07,5.0811767578125e-07,0,2.046553373336792,-0.00017634928226470948,0.00032326102256774903,0.00012427151203155517,-2.4837255477905274e-08,-1.5497207641601562e-10,-1.327883005142212e-05,0.4724389612674713,6.134241819381714e-05,9.888783097267151e-06,0.0004601970314979553,1.29033625125885e-07,5.301125347614288e-07,-1.700770854949951e-06,82040.78125,-0.282265625,-0.29216796875,0,0.0017141276463553366,-0.0005890172410386186,0.0,-0.0032680584086563157,0.0006615709362043276,5.871070405932599e-05,0.00113678152250543,2.0237922405907938e-05,0.00021741500753926779
