v,vx,vy,vz,v2x,v2y,v2z,p,py,w,wx,wy,wz,w2x,w2y,w2z,pz,wwx,wwy,wwz
,,,,,,,83736.96875,,0.3148638904094696,0.00016498245298862457,0.00016587652266025543,8.609130978584289e-05,4.2957812547683715e-08,3.2445862889289854e-07,-3.45495343208313e-07,8.19537109375,5.194701699729576e-05,5.222852725240257e-05,2.7107044729617335e-05
,,,,,,,83737.1953125,,0.35452836751937866,0.00014151699841022492,0.0002174215018749237,0.00013641461730003356,-9.482353925704956e-09,1.9099116325378418e-07,-2.7548670768737794e-07,8.1953125,5.0171790422619546e-05,7.708209012332823e-05,4.836285157716169e-05
,,,,,,,83737.53125,,0.4018324911594391,0.00014523930847644805,0.0002630677819252014,0.000169374942779541,-9.48384404182434e-09,2.654716372489929e-07,2.472102642059326e-09,8.1951171875,5.836187313936536e-05,0.00010570918215479175,6.806035519709042e-05
,,,,,,,83737.78125,,0.45975548028945923,0.00013982698321342467,0.0003002195805311203,0.00018089666962623597,-4.141926765441894e-08,1.0604634881019592e-07,3.416389226913452e-08,8.19509765625,6.428622182471421e-05,0.0001380275974393852,8.316823522677374e-05
,,,,,,,83737.5390625,,0.5219203233718872,0.00015396833419799804,0.0002920128405094147,0.00017956487834453583,-4.819929599761963e-08,-1.881137490272522e-07,-3.361925482749939e-08,8.1946875,8.035920277364993e-05,0.00015240743614741703,9.371855937181373e-05
,,,,,,,83664.265625,,0.5765606164932251,0.00015326932072639465,0.00026993542909622194,0.00018563419580459596,1.7210841178894044e-09,-3.2660365104675296e-08,-1.4437437057495118e-07,8.08689453125,8.836905404750795e-05,0.00015563413741308098,0.00010702936637532191
,,,,,,,83596.96875,,0.629894495010376,0.0001489242911338806,0.00025967538356781007,0.00020076453685760498,-2.313554286956787e-08,-6.994009017944336e-08,-1.8366575241088867e-07,7.991640625,9.380659115855394e-05,0.00016356809459907142,0.0001264604765599131
,,,,,,,83555.6796875,,0.6804307699203491,0.00015016376972198486,0.00024239465594291687,0.00023275509476661683,-2.293586730957031e-08,-1.0286718606948852e-07,3.719478845596314e-08,7.9294140625,0.00010217604944607216,0.00016493278236781706,0.0001583737283349329
,,,,,,,83601.6875,,0.7268523573875427,0.00014425992965698243,0.00019898414611816407,0.00030448704957962034,-1.1327862739562988e-08,-3.3123791217803954e-07,-2.5468766689300536e-07,7.99587890625,0.00010485566994773878,0.0001446320956887348,0.00022131712978092465
,,,,,,,83652.8046875,,0.7600244283676147,0.000151626318693161,8.990943431854248e-05,0.0003541438281536102,-1.2342631816864014e-08,-7.595092058181763e-07,-4.863277077674865e-07,8.0765234375,0.00011523970619025547,6.833336642280586e-05,0.0002691579605523664
,,,,,,,83605.34375,,0.7628161311149597,0.0001326906681060791,5.617216229438782e-05,0.0002913612127304077,-5.647540092468262e-09,4.2213648557662964e-07,1.5945136547088623e-07,8.0076171875,0.00010121858207973843,4.2849031517766535e-05,0.00022225503305197235
,,,,,,,83564.6953125,,0.7824932932853699,0.00012702792882919313,0.00010365381836891175,0.00034892216324806214,-2.599656581878662e-08,5.268007516860962e-08,-1.2950748205184937e-07,7.9521875,9.93985023687749e-05,8.110841769709331e-05,0.0002730292526202316
,,,,,,,83546.6640625,,0.8042776584625244,0.00012732520699501037,9.006053209304809e-05,0.0003630273044109344,-2.4493038654327392e-08,-1.886129379272461e-07,-3.5290420055389405e-08,7.92822265625,0.00010240481934520318,7.243367387168575e-05,0.0002919747503495884
,,,,,,,83559.8515625,,0.8185175061225891,0.00012903258204460143,2.2028535604476928e-05,0.00033938750624656677,-3.139525651931763e-08,-4.917070269584656e-07,6.574839353561402e-08,7.94560546875,0.00010561542726370553,1.8030742026509117e-05,0.0002777946152221045
